trial,val_CRPS_log,learning_rate,iterations,depth,l2_leaf_reg,subsample,rsm,min_data_in_leaf
1,0.130763027,0.008468009,370,6,21.83096839,0.838740063,,
2,0.130194039,0.012716916,314,6,2.386418878,0.733483444,,
3,0.14034663,0.002258907,230,8,81.23245086,0.932977056,,
4,0.135463244,0.008468009,142,6,4.765911809,0.798425079,0.722916376,94
5,0.131808586,0.01372825,166,7,0.000719782,0.825444236,0.52820579,49
6,0.137716378,0.003357297,241,7,0.001260164,0.652121121,0.762378216,68
7,0.135455059,0.008468009,142,6,4.765911809,0.798425079,0.722916376,94
8,0.131797398,0.01372825,166,7,0.000719782,0.825444236,0.52820579,49
9,0.137709457,0.003357297,241,7,0.001260164,0.652121121,0.762378216,68
10,0.129927205,0.019949429,219,7,69.58780103,0.61638567,0.545303217,81
11,0.143686087,0.003123318,104,7,0.358498558,0.523225206,0.803772426,40
12,0.137223765,0.013059943,67,7,44.99979487,0.781644109,0.692708251,72
13,0.140544536,0.003732089,141,7,0.000539796,0.747588455,0.517194261,97
14,0.136872099,0.009304746,99,7,0.007417652,0.760034011,0.77335514,73
15,0.146142245,0.001195547,195,5,0.04994877,0.697575118,0.963329433,67
