epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.17705725871175787,0.0489660347994142,0.1837969246166698,0.07296888864645812
2,0.1912827042973104,0.04816385968335152,0.21839874570653556,0.06929799096606268
3,0.17897603217956937,0.048039717376931204,0.23367271821552588,0.07065199951749243
4,0.18835715161724087,0.04771955763797935,0.23962385436540032,0.06321829706560672
5,0.18668359795663156,0.048056981152874184,0.2418969677019287,0.06292125396764855
6,0.18855650522275616,0.04882382260981131,0.26481487550177085,0.06856697976851463
7,0.20295855965147294,0.048183379355460486,0.27389761998068923,0.06611289460633119
8,0.20981960738635905,0.04752098804773974,0.32944713730404473,0.08856232040267088
9,0.18524326625822002,0.0482412621200305,0.2458955499891532,0.06288971181871034
10,0.1841678645491003,0.04785902708052629,0.25206662880407965,0.060175099482961784
