epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,4.97194461586135,0.1457723308701834,0.7198010959795543,0.19211722886036403,0.1755055904990678,0.1863963729931845
2,4.828247763330351,0.14287768430214454,0.7166015641276646,0.14000954497356924,0.158720590704798,0.15244819049001257
3,4.799567536202732,0.14450241292531535,0.7191036066145049,0.1286771645543024,0.1539805573230908,0.11980737594228606
4,4.77957022067769,0.142225752206185,0.7161477819240882,0.14661606000486452,0.15613827540707337,0.1478301936311273
5,4.761427354732645,0.14605253949868477,0.7135465355770085,0.14747917400992575,0.17445910560891587,0.18346415138780678
6,4.745821582415168,0.1450170610466719,0.7152123617510091,0.13650858342538721,0.15887425506463101,0.14735649962802952
7,4.73729753427338,0.14419072602294672,0.7157169517254593,0.1147189084141199,0.14964422290822862,0.13182055515289953
8,4.731602638104581,0.1419554800517169,0.7161984536084931,0.1113545093567178,0.1512826497955757,0.13254801720669218
9,4.7194230571483615,0.14366038692571573,0.7151104695790769,0.13932939750836137,0.15833289748859056,0.1582009631462486
10,4.70370387744146,0.14420975904420136,0.7162035152568395,0.15030118105506876,0.16487178554758708,0.16051179274813382
11,4.702894126756886,0.14182142512621326,0.7146979181423705,0.1376183328880442,0.1652382515368032,0.1484229892857311
12,4.692579489910821,0.14093361000343022,0.713770674787809,0.13586401868089845,0.16396265045216651,0.1559522204923642
13,4.692425500975031,0.14138624910224645,0.712079601146452,0.13662922561057445,0.16530229487025186,0.14970779454547414
14,4.681895593204162,0.14255429340042952,0.7146351389122075,0.13725840667979228,0.16013721558316377,0.14816761606427575
15,4.675735722187292,0.14280987285744426,0.7150638480074476,0.13857849350078666,0.16216775780292297,0.15859692944199538
16,4.670997033511475,0.14341918497025083,0.7140797994791965,0.12349243343472276,0.154554254263009,0.13971389384317628
17,4.663829613311763,0.14258222154322167,0.7137502404408471,0.14810515186182602,0.17227778092266172,0.1682114201741147
18,4.660748795932836,0.14583140808946166,0.7178847380014922,0.11601911448997115,0.15424820572476,0.13525821613396657
19,4.658689698025978,0.14155451602704874,0.7136015095510715,0.12985221078147932,0.15912925184386692,0.13597535647853326
20,4.654197138072204,0.14134844023639415,0.7146704427049457,0.1324911030141675,0.159480088833749,0.15556412674941025
21,4.649986793086116,0.14167908819121364,0.7118782172870813,0.14406615346543605,0.17061938271505572,0.16194140087335257
22,4.644397014266757,0.1411429270189288,0.713955098424003,0.13127004180985485,0.1560771722485605,0.144077604959418
